Series_Title,Runtime_of_Series,Certificate,Runtime_of_Episodes,Genre,IMDB_Rating,Overview,Star1,Star2,Star3,Star4,No_of_Votes
How to Get Away with Murder,(2014–2020),18+,43 min,"Crime, Drama, Mystery",8.1,A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.,Viola Davis,Billy Brown,Jack Falahee,Aja Naomi King,129704
Chuck,(2007–2012),16,43 min,"Action, Comedy, Drama",8.2,"When a twenty-something computer geek inadvertently downloads critical government secrets into his brain, the C.I.A. and the N.S.A. assign two agents to protect him and exploit such knowledge, turning his life upside down.",Zachary Levi,Yvonne Strahovski,Joshua Gomez,Vik Sahay,127430
Teen Wolf,(2011–2017),18,41 min,"Action, Drama, Fantasy",7.6,An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.,Tyler Posey,Holland Roden,Dylan O'Brien,Linden Ashby,127044
Silicon Valley,(2014–2019),15+,28 min,Comedy,8.5,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.",Thomas Middleditch,T.J. Miller,Josh Brener,Martin Starr,126777
Outlander,(2014– ),A,64 min,"Drama, Fantasy, Romance",8.4,An English combat nurse from 1945 is mysteriously swept back in time to 1743.,Caitriona Balfe,Sam Heughan,Duncan Lacroix,Sophie Skelton,124920
Hagane no renkinjutsushi,(2009–2012),18+,24 min,"Animation, Action, Adventure",9.1,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,Kent Williams,Iemasa Kayumi,Vic Mignogna,Muriel Hofmann,121914
The Fresh Prince of Bel-Air,(1990–1996),U,22 min,Comedy,7.9,"A streetwise, poor young man from Philadelphia is sent by his mother to live with his aunt, uncle and cousins in their Bel-Air mansion.",Will Smith,James Avery,Alfonso Ribeiro,Tatyana Ali,121909
Luther,(2010–2019),18,60 min,"Crime, Drama, Mystery",8.5,DCI John Luther is a near-genius murder detective whose brilliant mind can't always save him from the dangerous violence of his passions.,Idris Elba,Dermot Crowley,Michael Smiley,Warren Brown,121482
Six Feet Under,(2001–2005),15+,55 min,"Comedy, Drama",8.7,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,Peter Krause,Michael C. Hall,Frances Conroy,Lauren Ambrose,121367
NCIS: Naval Criminal Investigative Service,(2003– ),16,60 min,"Action, Crime, Drama",7.7,"The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.",Mark Harmon,David McCallum,Sean Murray,Pauley Perrette,119971
Riverdale,(2017– ),13+,45 min,"Crime, Drama, Mystery",6.9,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.",K.J. Apa,Lili Reinhart,Camila Mendes,Cole Sprouse,118902
White Collar,(2009–2014),15+,40 min,"Comedy, Crime, Drama",8.2,"A white-collar criminal agrees to help the FBI catch other white-collar criminals using his expertise as an art and securities thief, counterfeiter, and conman.",Matt Bomer,Tim DeKay,Willie Garson,Tiffani Thiessen,118793
The Originals,(2013–2018),16+,45 min,"Drama, Fantasy, Horror",8.2,A family of power-hungry thousand-year-old vampires look to take back the city that they built and dominate all those who have done them wrong.,Joseph Morgan,Daniel Gillies,Claire Holt,Phoebe Tonkin,117750
Malcolm in the Middle,(2000–2006),12+,22 min,"Comedy, Family",8,"A gifted young teen tries to survive life with his dimwitted, dysfunctional family.",Frankie Muniz,Bryan Cranston,Justin Berfield,Erik Per Sullivan,117745
Luke Cage,(2016–2018),18,55 min,"Action, Crime, Drama",7.3,"When a sabotaged experiment gives him super strength and unbreakable skin, Luke Cage becomes a fugitive attempting to rebuild his life in Harlem and must soon confront his past and fight a battle for the heart of his city.",Mike Colter,Simone Missick,Theo Rossi,Alfre Woodard,116956
American Dad!,(2005– ),U,22 min,"Animation, Comedy",7.3,"The random escapades of Stan Smith, a conservative C.I.A. Agent dealing with family life, and keeping America safe, all in the most absurd way possible.",Seth MacFarlane,Wendy Schaal,Scott Grimes,Rachael MacFarlane,116817
One Punch Man: Wanpanman,(2015– ),16+,24 min,"Animation, Action, Comedy",8.8,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.",Makoto Furukawa,Kaito Ishikawa,Max Mittelman,Zach Aguilar,116786
Smallville,(2001–2011),NA,60 min,"Adventure, Drama, Romance",7.5,"A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas.",Michael Rosenbaum,Allison Mack,Kristin Kreuk,NA,116499
Desperate Housewives,(2004–2012),NA,45 min,"Comedy, Drama, Mystery",7.5,"Secrets and truths unfold through the lives of female friends in one suburban neighborhood, after the mysterious suicide of a neighbor.",Felicity Huffman,Marcia Cross,Eva Longoria,NA,115802
Taboo,(2017– ),NA,59 min,"Drama, Mystery, Thriller",8.4,"Adventurer James Keziah Delaney returns to London during the War of 1812 to rebuild his late father's shipping empire. However, both the government and his biggest competitor want his inheritance at any cost - even murder.",David Hayman,Jonathan Pryce,Oona Chaplin,NA,115751
The Good Place,(2016–2020),13+,22 min,"Comedy, Drama, Fantasy",8.2,Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.,Kristen Bell,William Jackson Harper,Jameela Jamil,D'Arcy Carden,115590
Iron Fist,(2017–2018),16,55 min,"Action, Adventure, Crime",6.5,A young man is bestowed with incredible martial arts skills and a mystical force known as the Iron Fist.,Finn Jones,Jessica Henwick,Jessica Stroup,Tom Pelphrey,114902
Dragon Ball Z,(1996–2003),NA,24 min,"Animation, Action, Adventure",8.7,"After learning that he is from another planet, a warrior named Goku and his friends are prompted to defend it from an onslaught of extraterrestrial enemies.",Christopher Sabat,Scott McNeil,Sean Schemmel,NA,113429
BoJack Horseman,(2014–2020),18+,25 min,"Animation, Comedy, Drama",8.7,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",Will Arnett,Amy Sedaris,Alison Brie,Aaron Paul,113345
Revenge,(2011–2015),NA,44 min,"Drama, Mystery, Thriller",7.8,An emotionally troubled young woman sets out to exact revenge against the people who wronged her father.,Emily VanCamp,Gabriel Mann,Nick Wechsler,NA,112608
Fear the Walking Dead,(2015– ),16+,44 min,"Drama, Horror, Sci-Fi",6.9,"A Walking Dead spin-off, set in Los Angeles, following two families who must band together to survive the undead apocalypse.",Kim Dickens,Frank Dillane,Cliff Curtis,Rubén Blades,112591
Penny Dreadful,(2014–2016),18,60 min,"Drama, Fantasy, Horror",8.2,"Explorer Sir Malcolm Murray, American gunslinger Ethan Chandler, scientist Victor Frankenstein and medium Vanessa Ives unite to combat supernatural threats in Victorian London.",Josh Hartnett,Timothy Dalton,Eva Green,Reeve Carney,112153
30 Rock,(2006–2013),NA,22 min,Comedy,8.2,"Liz Lemon (Tina Fey), head writer of the sketch comedy show ""TGS with Tracy Jordan"", must deal with an arrogant new boss and a crazy new star, all while trying to run a successful television show without losing her mind.",Alec Baldwin,Tracy Morgan,Jack McBrayer,NA,111988
Supergirl,(2015–2021),12+,43 min,"Action, Adventure, Drama",6.3,The adventures of Superman's cousin in her own superhero career.,Melissa Benoist,Chyler Leigh,David Harewood,Mehcad Brooks,111301
Lie to Me,(2009–2011),NA,43 min,"Crime, Drama, Mystery",8,"About Cal Lightman, the world's leading deception expert who studies facial expressions and involuntary body language to expose the truth behind the lies.",Kelli Williams,Brendan Hines,Monica Raymund,NA,111083
The Expanse,(2015– ),16+,60 min,"Drama, Mystery, Sci-Fi",8.5,"In the 24th century, a disparate band of antiheroes unravel a vast conspiracy that threatens the Solar System's fragile state of cold war.",Steven Strait,Dominique Tipper,Wes Chatham,Shohreh Aghdashloo,109916
Cobra Kai,(2018– ),A,30 min,"Action, Comedy, Drama",8.6,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",Ralph Macchio,William Zabka,Xolo Maridueña,Courtney Henggeler,109597
Grimm,(2011–2017),16,45 min,"Crime, Drama, Fantasy",7.8,A homicide detective discovers he is a descendant of hunters who fight supernatural forces.,David Giuntoli,Russell Hornsby,Silas Weir Mitchell,Sasha Roiz,109284
Top Gear,(2002– ),13,60 min,"Adventure, Comedy, Reality-TV",8.7,"The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.",Jeremy Clarkson,Richard Hammond,James May,The Stig,109019
This Is Us,(2016– ),16,45 min,"Comedy, Drama, Romance",8.7,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents.",Milo Ventimiglia,Mandy Moore,Sterling K. Brown,Chrissy Metz,107178
Sex and the City,(1998–2004),A,30 min,"Comedy, Drama, Romance",7.1,Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the late 1990s.,Sarah Jessica Parker,Kim Cattrall,Kristin Davis,Cynthia Nixon,107167
The Newsroom,(2012–2014),15+,55 min,Drama,8.6,"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.",Jeff Daniels,Emily Mortimer,John Gallagher Jr.,Alison Pill,104738
The Legend of Korra,(2012–2014),NA,23 min,"Animation, Action, Adventure",8.4,Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.,P.J. Byrne,David Faustino,J.K. Simmons,NA,103857
Curb Your Enthusiasm,(2000– ),15+,28 min,Comedy,8.7,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,Larry David,Cheryl Hines,Jeff Garlin,Susie Essman,103070
Mr. Bean,(1990–1995),NA,25 min,"Comedy, Family",8.5,"Bumbling, childlike Mr. Bean has trouble completing the simplest of tasks in day-to-day life, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems.",Robin Driscoll,Matilda Ziegler,Matthew Ashforde,NA,103055
Weeds,(2005–2012),A,28 min,"Comedy, Crime, Drama",7.9,"When a suburban mother turns to dealing marijuana in order to maintain her privileged lifestyle after her husband dies, she finds out just how addicted her entire neighborhood already is.",Mary-Louise Parker,Hunter Parrish,Alexander Gould,Kevin Nealon,102488
Star Trek: The Next Generation,(1987–1994),U,44 min,"Action, Adventure, Mystery",8.6,"Set almost 100 years after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before.",Patrick Stewart,Brent Spiner,Jonathan Frakes,LeVar Burton,101700
Fleabag,(2016–2019),18+,27 min,"Comedy, Drama",8.7,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,Phoebe Waller-Bridge,Sian Clifford,Olivia Colman,Jenny Rainsford,101600
Orphan Black,(2013–2017),18,44 min,"Action, Drama, Sci-Fi",8.3,A streetwise hustler is pulled into a compelling conspiracy after witnessing the suicide of a girl who looks just like her.,Tatiana Maslany,Dylan Bruce,Jordan Gavaris,Kevin Hanchard,101529
Gilmore Girls,(2000–2007),18,44 min,"Comedy, Drama",8.1,"A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.",Lauren Graham,Alexis Bledel,Keiko Agena,Scott Patterson,101373
Elementary,(2012–2019),16+,60 min,"Crime, Drama, Mystery",7.9,"A modern take on the cases of Sherlock Holmes, with the detective now living in New York City.",Jonny Lee Miller,Lucy Liu,Aidan Quinn,Jon Michael Hill,101330
Under the Dome,(2013–2015),NA,43 min,"Drama, Mystery, Sci-Fi",6.6,"An invisible and mysterious force field descends upon a small actual town of Chester's Mill, Maine, USA, trapping residents inside, cut off from the rest of civilization. The trapped townspeople must discover the secrets and purpose of the ""dome"" or ""sphere"" and its origins, while coming to learn more than they ever knew about each other and animals too.",Rachelle Lefevre,Alexander Koch,Colin Ford,NA,101232
The Office,(2001–2003),NA,30 min,"Comedy, Drama",8.5,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.,Martin Freeman,Mackenzie Crook,Lucy Davis,NA,99119
The Killing,(2011–2014),NA,45 min,"Crime, Drama, Mystery",8.2,"A police investigation, the saga of a grieving family, and a Seattle mayoral campaign all interlock after the body of 17-year-old Rosie Larsen is found in the trunk of a submerged car.",Joel Kinnaman,Billy Campbell,Liam James,NA,98694
Bates Motel,(2013–2017),16,45 min,"Drama, Horror, Mystery",8.2,"A contemporary prequel to Psycho, giving a portrayal of how Norman Bates' psyche unravels through his teenage years, and how deeply intricate his relationship with his mother, Norma, truly is.",Vera Farmiga,Freddie Highmore,Max Thieriot,Nicola Peltz,97152
"Love, Death & Robots",(2019– ),18,15 min,"Animation, Short, Comedy",8.5,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.",Scott Whyte,Nolan North,Matthew Yang King,Chris Cox,97113
